hour,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31
0,4.255,3.088,1.966,2.375,3.790,2.946,6.436,2.444,3.778,5.321,3.454,3.794,5.874,5.245,4.430,6.065,5.134,7.051,2.295,4.704,1.375,0.967,2.820,5.663,5.143,5.261,6.525,3.238,3.400,2.996,5.210
1,3.299,1.825,2.829,3.403,3.814,2.062,2.984,4.240,3.634,5.516,4.425,5.065,3.804,6.247,5.426,7.629,6.837,6.625,4.234,5.100,2.381,3.593,1.786,5.934,5.939,4.335,5.348,4.026,5.186,2.041,3.730
2,3.475,3.100,3.764,1.647,2.394,1.164,2.476,4.009,2.549,5.397,4.221,4.334,3.810,5.800,4.952,8.015,8.669,5.444,5.076,3.477,4.887,1.282,1.104,5.511,6.035,4.317,4.465,3.393,5.697,4.180,3.118
3,1.952,3.202,2.212,2.763,3.225,2.450,2.101,2.811,1.669,5.176,3.871,4.202,4.970,4.821,5.298,8.458,7.823,6.064,6.734,6.487,4.977,1.120,2.227,5.604,6.463,4.078,4.395,3.368,4.923,5.203,4.315
4,2.731,4.154,1.898,5.137,2.536,2.271,2.892,1.745,1.055,4.782,1.971,4.218,5.238,2.448,5.605,6.558,6.340,6.300,6.832,6.707,3.136,2.353,1.262,5.445,3.876,3.614,4.110,3.217,4.230,5.503,3.103
5,2.906,3.595,2.629,4.812,1.640,1.740,2.156,2.842,1.769,5.012,1.621,3.315,2.424,4.659,5.910,5.822,7.057,5.028,5.937,2.581,2.528,1.916,0.915,4.664,3.246,3.839,3.616,3.766,3.409,3.830,2.723
6,2.482,1.823,4.075,4.657,3.830,2.406,2.804,3.314,0.891,4.512,2.573,3.778,3.117,5.405,4.950,5.848,6.274,5.726,5.624,1.673,1.591,2.836,1.520,5.019,3.912,4.798,3.113,4.435,3.038,3.708,3.842
7,2.653,2.942,3.622,2.637,4.155,1.841,2.704,3.541,3.185,3.794,4.387,4.280,5.089,4.952,4.700,4.871,4.552,4.741,5.382,1.607,0.765,2.093,0.829,4.367,4.955,4.536,2.497,4.278,1.240,3.599,4.740
8,2.839,3.872,3.590,3.969,3.087,0.525,2.153,2.164,3.730,4.887,4.778,4.648,4.824,4.163,4.108,4.905,4.296,3.742,3.938,2.000,2.813,2.446,2.516,3.685,4.316,4.183,3.032,4.497,0.365,3.701,5.214
9,1.594,3.421,2.461,3.328,2.250,1.267,2.179,2.737,3.220,3.879,2.868,2.987,4.196,3.985,4.203,6.164,3.625,4.312,3.552,2.265,2.451,2.174,2.427,4.004,3.880,3.421,3.934,3.572,1.040,3.239,4.643
10,1.157,3.111,2.011,4.482,1.705,1.398,3.121,1.871,3.550,4.725,3.410,2.346,4.272,4.294,5.387,5.991,5.294,5.083,3.856,0.600,1.530,1.006,3.329,4.834,3.530,3.518,4.723,3.924,1.081,3.991,5.693
11,1.650,4.500,4.691,3.530,2.061,1.943,4.796,2.238,4.436,4.607,4.684,4.617,4.460,5.480,6.266,6.235,5.848,6.377,3.862,0.733,1.767,1.438,4.150,6.189,4.337,3.476,5.158,3.733,1.996,3.987,6.455
12,2.322,4.483,4.626,4.284,2.871,1.366,4.643,2.551,3.327,4.528,4.116,4.155,5.131,5.248,5.640,6.538,6.929,6.553,2.680,2.053,2.440,1.424,5.013,5.580,5.042,4.188,4.316,4.598,2.626,3.983,5.456
13,2.589,3.780,3.845,4.151,2.341,1.621,4.321,3.681,2.742,3.709,3.116,4.050,5.460,5.163,5.799,5.906,6.767,6.127,2.608,1.267,3.611,1.621,3.887,5.177,5.287,5.490,1.923,4.102,3.913,4.402,4.955
14,2.456,3.378,2.888,2.553,3.229,1.760,3.271,3.267,3.906,4.072,3.137,3.801,5.678,4.266,5.603,6.582,6.164,5.275,2.401,1.438,1.988,1.774,4.129,4.981,4.398,4.930,3.255,3.683,3.738,2.930,4.825
15,3.061,3.521,2.306,1.901,3.392,2.603,2.584,3.666,3.390,3.597,2.585,2.692,5.278,3.629,4.088,5.993,6.671,5.108,1.956,1.245,4.365,1.659,3.292,4.647,2.376,3.140,3.914,4.815,3.518,2.474,4.887
16,2.196,2.776,2.524,2.167,8.687,3.970,3.094,3.023,3.106,3.691,1.738,2.816,4.802,3.782,4.536,5.070,6.147,3.913,1.738,1.981,2.454,1.977,5.058,4.466,2.477,2.190,1.424,4.250,3.259,2.364,4.366
17,1.330,3.019,2.153,2.576,4.103,6.713,2.325,2.986,2.885,2.411,2.590,2.853,4.867,4.401,4.744,5.502,5.968,3.698,2.334,1.698,3.888,1.812,3.926,6.215,3.815,1.174,1.279,4.660,3.528,2.182,4.075
18,2.130,3.195,1.572,3.981,4.643,4.681,2.329,2.576,3.854,2.051,2.773,5.021,3.503,4.213,5.671,5.417,6.053,3.397,2.485,1.582,5.250,5.388,4.713,6.944,4.912,1.926,0.779,5.732,4.106,1.484,3.620
19,3.288,3.100,2.067,5.439,5.377,3.695,2.254,1.536,3.648,1.402,3.717,4.642,3.561,4.025,5.229,5.063,6.418,1.004,2.861,2.360,3.224,4.810,5.467,6.910,5.534,3.001,1.144,4.525,3.699,2.708,2.144
20,4.591,2.346,4.094,2.769,3.700,4.056,2.320,1.326,3.666,1.042,3.857,5.419,3.287,3.338,4.055,5.199,4.402,0.861,8.133,2.156,2.577,5.109,4.457,4.436,5.658,2.033,4.375,4.064,4.020,4.009,1.565
21,5.514,2.451,3.124,2.404,4.071,4.054,4.089,3.661,5.079,2.828,3.058,5.500,5.016,3.197,5.779,4.864,5.405,3.972,6.596,7.080,0.376,4.083,4.780,5.305,6.427,2.799,6.764,4.793,3.590,6.910,2.102
22,1.700,4.753,3.220,2.947,3.262,2.951,3.187,4.009,4.708,4.932,2.081,6.120,5.612,2.303,4.067,5.300,5.486,4.719,4.642,6.510,0.544,3.943,5.018,6.094,6.811,4.554,4.662,4.310,3.567,5.019,2.031
23,3.513,2.932,3.354,3.506,3.433,2.135,3.927,3.645,4.719,4.923,3.791,6.143,5.635,4.773,5.628,5.276,5.364,3.208,4.337,5.638,0.792,1.987,4.827,5.277,6.427,6.419,2.597,4.092,3.915,6.002,4.656
